team,net_rating,pace,ato,efg_pct,ortg,drtg,seed,region,is_qualified,logo
NJIT,-9.1,68.2,0.931,.467,98.1,107.2,,,0,
Navy,+16.5,65.2,1.442,.536,113.3,96.7,,,0,
Nebraska,+16.3,67.3,1.837,.554,114.0,97.7,8,Midwest,1,
Nevada,+6.4,66.8,1.406,.497,112.0,105.6,,,0,
New Hampshire,-7.8,67.7,1.000,.476,99.7,107.5,,,0,
New Haven,-2.1,64.2,1.090,.504,101.1,103.2,,,0,
New Mexico,+13.8,70.6,1.393,.538,114.2,100.4,10,West,1,
New Mexico State,+4.5,68.1,1.229,.490,109.0,104.5,,,0,
New Orleans,-4.5,69.7,0.896,.496,106.2,110.7,,,0,
Niagara,-11.6,63.1,1.176,.508,100.8,112.4,,,0,
Nicholls State,-3.7,68.7,1.109,.510,105.3,109.0,,,0,
Norfolk State,+3.7,70.1,0.967,.515,108.9,105.2,,,0,
North Alabama,-12.3,65.9,0.886,.487,104.4,116.7,,,0,
North Carolina A&T,-4.0,69.6,0.930,.512,107.4,111.4,,,0,
North Carolina Central,-5.3,68.2,1.115,.495,104.9,110.2,,,0,
North Dakota,-1.0,69.6,1.163,.504,109.2,110.2,,,0,
North Dakota State,+16.0,68.5,1.435,.545,116.1,100.1,14,East,1,
North Florida,-11.8,72.5,1.112,.536,109.4,121.1,,,0,
North Texas,+5.2,66.5,1.105,.474,104.2,99.1,,,0,
Northeastern,-8.7,69.7,1.339,.524,107.1,115.8,,,0,
Northern Arizona,-7.7,66.6,1.267,.533,107.1,114.8,,,0,
Northern Colorado,+8.4,70.0,1.523,.568,116.0,107.6,,,0,
Northern Illinois,-11.9,69.7,0.839,.486,99.7,111.6,,,0,
Northern Iowa,+13.5,63.7,1.613,.548,109.1,95.5,12,East,1,
Northern Kentucky,+7.8,71.8,1.339,.544,114.9,107.1,,,0,
Northwestern,+1.8,65.3,2.024,.517,111.6,109.8,9,South,1,
Northwestern State,-6.3,65.7,1.017,.494,103.5,109.8,,,0,
Notre Dame,-1.3,66.7,1.070,.523,109.9,111.2,,,0,
Oakland,+1.2,71.4,1.505,.533,115.7,114.5,,,0,
Ohio,-1.0,70.4,1.239,.520,109.7,110.7,,,0,
Ohio State,+10.4,66.5,1.385,.565,118.6,108.2,8,East,1,
